case,run,duration_ms,status
clean_vs_clean,1,340.9085,CLEAN
clean_vs_extra_overwrite,1,340.9085,METADATA_MISMATCH_LENGTH
clean_vs_same_length_change,1,340.9085,DIGEST_MISMATCH_SAME_LENGTH
clean_vs_clean,2,340.0084,CLEAN
clean_vs_extra_overwrite,2,340.0084,METADATA_MISMATCH_LENGTH
clean_vs_same_length_change,2,340.0084,DIGEST_MISMATCH_SAME_LENGTH
clean_vs_clean,3,342.7392,CLEAN
clean_vs_extra_overwrite,3,342.7392,METADATA_MISMATCH_LENGTH
clean_vs_same_length_change,3,342.7392,DIGEST_MISMATCH_SAME_LENGTH
clean_vs_clean,4,356.5481,CLEAN
clean_vs_extra_overwrite,4,356.5481,METADATA_MISMATCH_LENGTH
clean_vs_same_length_change,4,356.5481,DIGEST_MISMATCH_SAME_LENGTH
clean_vs_clean,5,358.4097,CLEAN
clean_vs_extra_overwrite,5,358.4097,METADATA_MISMATCH_LENGTH
clean_vs_same_length_change,5,358.4097,DIGEST_MISMATCH_SAME_LENGTH
clean_vs_clean,6,343.8436,CLEAN
clean_vs_extra_overwrite,6,343.8436,METADATA_MISMATCH_LENGTH
clean_vs_same_length_change,6,343.8436,DIGEST_MISMATCH_SAME_LENGTH
clean_vs_clean,7,350.4865,CLEAN
clean_vs_extra_overwrite,7,350.4865,METADATA_MISMATCH_LENGTH
clean_vs_same_length_change,7,350.4865,DIGEST_MISMATCH_SAME_LENGTH
clean_vs_clean,8,347.8282,CLEAN
clean_vs_extra_overwrite,8,347.8282,METADATA_MISMATCH_LENGTH
clean_vs_same_length_change,8,347.8282,DIGEST_MISMATCH_SAME_LENGTH
clean_vs_clean,9,349.9651,CLEAN
clean_vs_extra_overwrite,9,349.9651,METADATA_MISMATCH_LENGTH
clean_vs_same_length_change,9,349.9651,DIGEST_MISMATCH_SAME_LENGTH
clean_vs_clean,10,353.7539,CLEAN
clean_vs_extra_overwrite,10,353.7539,METADATA_MISMATCH_LENGTH
clean_vs_same_length_change,10,353.7539,DIGEST_MISMATCH_SAME_LENGTH
